frame,id,x1,y1,x2,y2
1490,170,1244,591,1320,658
1490,171,603,518,657,561
1491,170,1251,600,1332,668
1491,171,612,515,666,555
1492,170,1259,607,1344,678
1492,171,620,510,676,547
1493,170,1268,613,1357,690
1493,171,628,506,682,542
1494,170,1278,624,1370,701
1494,171,638,504,687,538
1495,170,1286,632,1383,714
1495,171,645,498,696,535
1496,170,1299,645,1397,726
1496,171,653,493,702,529
1497,170,1310,654,1413,743
1497,171,660,490,707,524
1498,170,1323,666,1431,755
1498,171,667,485,710,518
1499,170,1335,678,1451,771
1499,171,674,481,718,513
15,1,1130,654,1217,735
150,26,1354,670,1471,775
1500,170,1351,691,1471,790
1501,170,1365,705,1494,808
1501,171,687,471,731,506
1502,170,1382,721,1517,829
1502,171,693,469,736,502
1503,170,1399,738,1542,849
1503,171,699,467,741,497
1504,170,1419,754,1570,873
1505,170,1441,772,1601,900
1506,170,1464,792,1638,930
1507,170,1489,814,1674,961
1508,170,1516,837,1719,998
1509,170,1546,865,1765,1039
151,26,1370,680,1489,795
1510,170,1581,895,1823,1071
1510,174,1066,434,1100,462
1511,170,1620,927,1871,1080
1511,174,1067,434,1100,462
1512,174,1067,435,1102,463
1513,174,1068,435,1102,464
152,26,1384,694,1510,812
153,26,1400,709,1531,830
154,26,1417,724,1555,851
155,26,1435,739,1581,873
156,26,1457,756,1610,898
157,26,1478,776,1642,924
158,26,1500,796,1674,953
159,26,1525,818,1713,984
16,1,1139,665,1230,749
160,26,1552,841,1752,1019
161,26,1583,867,1797,1057
162,26,1614,897,1860,1079
163,26,1652,925,1891,1080
163,31,1,968,249,1076
164,26,1691,964,1917,1080
164,31,40,931,285,1078
165,31,102,892,327,1049
17,1,1147,675,1245,768
172,37,376,690,509,784
173,37,399,673,527,760
174,37,425,652,546,737
174,39,0,830,145,978
175,37,448,638,560,718
175,39,0,798,180,943
176,37,469,623,575,702
176,39,7,768,219,898
176,41,1114,421,1153,451
177,37,488,606,587,682
177,39,43,740,259,862
177,41,1115,423,1156,453
178,37,504,593,598,665
178,39,88,715,293,827
179,37,520,581,609,653
179,39,136,693,324,796
18,1,1157,690,1257,784
180,37,535,571,626,636
180,39,177,675,351,770
181,37,549,559,635,626
181,39,217,658,375,745
182,37,561,551,642,614
182,39,249,640,401,724
182,43,1126,434,1171,466
183,37,571,543,649,604
183,39,276,625,422,705
183,43,1128,435,1172,467
184,37,585,533,657,590
184,39,304,611,440,694
184,43,1130,437,1175,471
185,37,595,524,667,582
185,39,332,597,456,669
185,43,1133,441,1178,475
186,37,606,515,676,573
186,39,355,585,474,654
186,43,1135,443,1181,479
187,37,615,509,683,562
187,39,377,571,491,639
187,43,1137,444,1184,481
188,37,623,504,690,556
188,39,398,561,508,626
188,43,1140,445,1190,487
189,37,633,497,695,547
189,39,416,549,519,613
189,43,1142,446,1194,489
19,1,1168,704,1272,802
190,37,642,491,700,538
190,39,434,541,531,605
190,43,1144,448,1197,492
191,37,650,483,709,530
191,39,451,531,544,590
191,43,1149,448,1202,495
192,37,658,478,716,525
192,39,465,523,556,581
192,43,1154,455,1206,500
193,37,664,472,722,516
193,39,480,517,571,570
193,43,1157,461,1210,504
194,37,672,467,726,511
194,39,495,510,578,560
194,43,1161,465,1216,509
195,37,678,462,731,505
195,39,507,503,588,554
195,43,1164,468,1220,513
196,37,686,457,736,499
196,39,519,495,597,548
196,43,1167,469,1225,517
197,37,693,452,742,492
197,39,531,488,606,538
197,43,1172,468,1229,521
198,37,698,449,747,488
198,39,543,483,617,528
198,43,1177,470,1236,528
199,37,704,443,750,484
199,39,553,478,622,521
199,43,1181,476,1241,534
2,1,1060,558,1112,608
20,1,1179,717,1290,823
200,37,710,438,755,480
200,39,565,469,633,513
200,43,1186,486,1248,539
201,37,714,435,760,475
201,39,574,464,640,508
201,43,1189,487,1253,545
202,37,721,431,765,469
202,39,582,460,646,504
202,43,1196,489,1262,552
203,37,726,427,768,463
203,39,592,456,650,499
203,43,1201,493,1270,558
204,37,732,422,772,460
204,39,600,452,663,492
204,43,1207,501,1277,564
205,37,736,420,776,457
205,39,608,446,670,486
205,43,1213,507,1286,572
206,37,740,418,779,452
206,39,615,441,676,481
206,43,1219,513,1295,580
207,37,744,415,785,449
207,39,625,438,681,477
207,43,1227,519,1305,589
208,37,748,412,788,446
208,39,631,434,685,472
208,43,1234,528,1314,599
209,39,639,431,692,466
209,43,1242,536,1326,608
21,1,1190,736,1310,846
210,39,646,426,698,463
210,43,1250,541,1338,620
210,37,759,403,794,438
211,39,652,422,704,458
211,43,1258,551,1350,631
211,46,0,799,157,963
211,37,763,400,798,434
212,39,659,420,709,453
212,43,1268,558,1363,642
212,46,0,770,195,922
213,39,665,418,713,450
213,43,1279,564,1378,653
213,46,20,737,236,875
214,39,671,415,719,447
214,43,1290,577,1391,666
214,46,63,710,275,838
215,39,675,411,723,445
215,43,1303,586,1410,681
215,46,112,685,309,802
216,39,681,408,728,443
216,43,1314,597,1427,698
216,46,155,662,342,775
217,43,1327,608,1446,715
217,46,197,643,364,748
218,43,1340,622,1466,733
218,46,235,625,388,726
218,39,695,400,738,435
219,43,1355,636,1489,752
219,46,269,611,418,703
219,39,700,398,743,432
22,1,1205,755,1330,872
22,10,1013,436,1050,473
220,43,1373,652,1512,772
220,46,297,594,435,686
220,39,705,397,745,429
221,43,1390,670,1541,797
221,46,325,580,454,664
221,39,708,395,749,426
222,43,1411,687,1570,822
222,46,348,567,473,650
222,39,712,394,754,422
223,43,1432,705,1601,848
223,46,371,555,488,635
223,39,718,394,758,420
224,43,1456,724,1638,880
224,46,393,545,503,623
224,39,723,391,762,419
225,43,1480,745,1678,915
225,46,412,536,519,608
225,39,726,388,768,415
226,43,1508,772,1721,952
226,46,431,525,531,601
226,39,728,385,772,412
227,43,1540,804,1773,996
227,46,450,516,544,590
228,43,1575,836,1830,1042
228,46,463,509,555,578
229,43,1614,869,1891,1073
229,46,479,503,569,567
23,1,1221,775,1353,901
23,10,1013,441,1050,474
230,43,1659,912,1919,1080
230,46,493,496,579,559
231,46,507,488,589,553
232,46,521,482,598,547
233,46,532,477,606,540
234,46,544,471,618,532
235,46,554,468,625,524
236,46,562,464,635,517
237,46,574,460,643,512
238,46,583,457,646,507
239,46,593,455,651,504
24,1,1237,797,1379,934
24,10,1014,446,1051,475
240,46,602,450,662,497
241,46,608,445,670,491
242,46,618,441,676,487
243,46,626,439,681,484
244,46,633,437,685,481
245,46,640,434,688,480
246,46,646,429,695,474
247,46,652,428,703,468
248,46,657,427,708,464
249,46,663,422,714,461
25,1,1256,821,1408,967
25,10,1014,439,1052,475
250,46,671,420,718,459
251,46,677,418,725,457
252,46,682,416,728,454
253,46,689,413,733,451
26,1,1277,849,1442,1008
26,10,1014,437,1054,478
27,1,1301,879,1481,1054
28,1,1329,914,1523,1078
3,1,1062,563,1117,614
325,67,1050,432,1095,462
326,67,1052,432,1097,464
327,67,1053,431,1101,466
328,67,1054,432,1103,472
328,68,1,944,276,1078
329,67,1056,436,1103,477
329,68,34,910,305,1077
330,67,1058,443,1102,481
330,68,90,869,343,1045
331,67,1059,446,1104,484
331,68,148,829,379,1000
332,67,1060,448,1105,487
332,68,201,796,411,950
333,67,1063,452,1106,489
333,68,246,769,438,905
334,67,1066,457,1109,491
334,68,290,742,462,866
335,67,1066,460,1111,497
335,68,324,717,484,828
336,67,1068,462,1113,501
336,68,352,694,503,799
337,67,1070,465,1119,507
337,68,381,674,521,774
337,73,1137,451,1178,490
338,67,1070,469,1121,512
338,68,403,656,538,748
338,73,1139,458,1181,492
339,67,1071,471,1124,515
339,68,430,641,554,725
339,73,1141,464,1186,497
34,21,1095,476,1139,510
340,67,1074,473,1127,522
340,68,450,622,570,705
340,73,1144,464,1190,502
341,67,1076,477,1129,527
341,68,466,608,583,690
341,73,1146,464,1195,505
342,67,1080,480,1132,531
342,68,489,596,596,673
342,73,1150,468,1198,509
343,67,1085,489,1136,537
343,68,503,586,605,655
343,73,1153,470,1201,512
344,67,1087,493,1143,543
344,68,520,573,618,641
344,73,1155,473,1205,516
345,67,1088,498,1148,550
345,68,535,561,630,628
345,73,1157,482,1211,523
346,67,1092,501,1152,556
346,68,551,554,642,615
346,73,1162,484,1216,528
347,67,1095,505,1155,561
347,68,562,545,648,604
347,73,1167,488,1222,534
348,67,1099,512,1159,569
348,68,573,538,657,593
348,73,1169,492,1225,539
349,67,1104,517,1167,575
349,68,587,525,663,583
349,73,1175,495,1232,546
35,21,1098,476,1140,510
35,22,1023,460,1064,492
350,67,1109,525,1173,584
350,68,596,517,676,576
350,73,1178,497,1239,551
351,67,1113,532,1177,592
351,68,607,512,684,569
351,73,1183,500,1246,556
352,67,1116,539,1182,600
352,68,614,506,687,558
352,73,1189,508,1249,561
353,67,1119,543,1191,609
353,68,623,499,693,551
353,73,1192,512,1256,567
354,67,1125,550,1198,620
354,68,634,493,700,542
354,73,1197,517,1265,575
355,67,1130,561,1205,630
